date,temperature_c,relative_humidity_pct,temperature_max_c,temperature_min_c,wet_bulb_c,thi_rh,thi_wetbulb
2022-04-03,26.99,81.69,30.24,24.43,25.24,78.258461,26.7275
2022-04-04,26.92,80.82,30.15,24.28,25.05,78.035484,26.6395
2022-04-05,26.83,82.86,29.81,24.46,25.19,78.14635799999999,26.584
2022-04-06,26.86,81.98,30.22,24.06,25.11,78.084688,26.5975
2022-04-07,26.94,80.41,30.66,23.32,25.02,78.01582400000001,26.652
2022-04-08,26.31,84.24,28.27,24.64,24.85,77.465224,26.090999999999998
2022-04-09,26.73,80.78,28.73,24.66,24.91,77.724954,26.457
2022-04-10,26.58,83.88,28.44,25.19,25.09,77.864464,26.356499999999997
2022-04-11,26.85,82.05,29.55,24.01,25.15,78.077275,26.595000000000002
2022-04-12,26.59,85.83,29.65,24.24,25.27,78.120507,26.391999999999996
2022-04-13,27.1,82.5,30.48,24.41,25.42,78.53999999999999,26.848
2022-04-14,26.81,83.93,30.27,24.08,25.29,78.247643,26.582
2022-04-15,27.28,80.37,31.21,23.57,25.36,78.556026,26.991999999999997
2022-04-16,27.11,82.99,29.99,24.54,25.5,78.619019,26.868499999999997
2022-04-17,27.26,84.12,30.59,24.53,25.76,79.009952,27.035
2022-04-18,27.44,83.9,30.54,24.55,25.91,79.27646,27.210500000000003
2022-04-19,26.8,87.37,28.69,25.28,25.65,78.66125,26.6275
2022-04-20,26.76,82.19,29.51,24.51,25.06,77.948874,26.505000000000003
2022-04-21,26.13,85.72,28.32,24.41,24.83,77.34467599999999,25.935
